张末
阿莱克·凯西西恩
安东尼·福奎阿
王宝强
金基德
约翰·斯蒂文森
张杨
克里斯·桑德斯
沃伦·科尔曼
罗杰·昆宝
佐米·希尔拉
威尔·古勒
新城毅彦
约翰·吉勒明
刘家成
朴赞郁
李蔚然
李载东
汤姆·摩尔
乔治·诺非
因达尔·詹杜巴耶夫
陈庆嘉
孙健君
沃尔特·塞勒斯
米格尔·萨普什尼克
雅各布·维尔布鲁根
米歇尔·麦克拉伦
丁黑
约翰·斯科特
克里斯多夫·甘斯
金炳洙
吉野洋
任旭东
D·B·威斯
Norika Sakuma
塔西姆·辛
霍建起
托尼·吉尔罗伊
游达志
克里斯·韦奇
闫非
鲍勃·彼德森
塞斯·格罗斯曼
查德·史塔赫斯基
特拉维斯·奈特
史蒂芬·戴德利
陈木胜
克里斯托弗·诺兰
罗伯特·帕西尼
文晏
中村义洋
贾斯汀·库泽尔 
陈德森
曾志伟
康大奎
泽维尔·吉恩斯
李焕庆
迈克·约翰逊
李应福
亚当·戴维森
克洛德·比诺托
海伦·亨特
王小帅
尹力
夏祖辉
金依萌
汤姆·福特
鲁伯特·桑德斯
崔世昱
宫胁亮
萨娜·汉姆利
梦继
弗朗索瓦·欧容
岩井俊二
西蒙·兰顿
罗伯·莱纳
梅小青
亚历克斯·加兰
张婉婷
Adisorn Trisirikasem
杰克·本德
詹姆斯·弗雷
刘江
杰夫·瓦德洛
鲁本·弗雷斯彻
迈克尔·莱拜克
陈怀恩
是枝裕和
安德鲁·尼科尔
马丁·斯科塞斯
池田成
莱恩·约翰逊
嘉瑞斯·贾里维克
Natalia Andreadis
易小星
Michael Reichert
 雅克·克鲁奥德
尤磊
乔治·马斯塔斯
吴锦源
迈克尔·斯劳韦斯
布拉德·佩顿
鲍德熹
雷尼·哈林
八木龙一
厄尼·巴巴拉什
山崎贵
王伟
李巨源
克利斯汀·迪特
诹访敦彦
山下敦弘
横山和夫
尼克·赫伦
魏德圣
詹姆斯·博宾
大卫·芬奇
乔治·米勒
陆剑青
理查德·沙因克曼
菲利达·劳埃德
大卫·贾柏
帕特里克·R·诺里斯
西德尼·吕美特
野本史生 
克里斯托弗·米勒
葛桂云
斯科特·怀南特
雅克·范·多梅尔
本·博尔特
沈严
杨雅喆
林文肖
杜家毅
西维亚·乔迈
柯克·琼斯
盖瑞·罗斯
罗杰·唐纳森
森淳一
加斯·詹宁斯
柯克·维斯
王岳伦
柯克·德·米科
托尼·斯科特
瓦里丝·侯赛因
迈克尔·巴塞特
尤洛斯·林
罗斯·达菲
肯尼·奥特加
巴瑞·莱文森
吉恩·凯利
村上正典
彼得·杰克逊
罗宾·怀特
张太维
丹尼·加农
李大为
雅克·贝汉
李濬益
米克·杰克逊
大谷健太郎
田晓鹏
比约恩·史坦
赵圣熙
高畑勋
斯蒂芬·弗雷斯
马克·韦布
赵秀沅
卡伦·乔哈尔
尼克·摩尔
塔克·盖茨
今井夏木
弗兰克·德拉邦特
卡洛斯·沙尔丹哈
马楚成
福田亮介
莎拉·皮亚·安德森
布兰达∙查普曼
奥逊·威尔斯
宫崎吾朗
杨磊
金容华
费利普·弥勒
P·J·霍根
崔东勋
史蒂夫·马蒂诺
约翰·辛格顿
维克多·弗莱明
田中健太
丹·格拉斯
安东尼·拉默里纳拉
王天林
李路
胡金铨
棚田由纪
唐澄
迈克·尼科尔斯
蒋雯丽
胡依红
周拓如
E.C. Segar
王树忱
约什·布恩
福田雄一
邓超
蒂姆·斯托瑞
伍宗德
马特·里夫斯
马克·福斯特
宁浩
亨利·塞利克
阿德里安·莱恩
九把刀
姚婷婷
马克·米罗
阎善春
赖水清
西尔维斯特·史泰龙
特瑞·吉列姆
顾伦德·查达哈
塔伊加·维迪提
克里斯·巴特勒
丁仰国
迈克·米歇尔
丹尼斯·甘塞尔
程孝泽
塚本连平
尼尔·乔丹
山室大辅 
大卫·克拉尼
西蒙·韦斯特
丹·关
刘镇伟
程耳
杨文军
Kimio Yabuki
萧雅全
保罗·安德森
苏照彬
王勇
金道勋
大卫·斯雷德
Tom Kuntz
山姆·菲尔
林书宇
迈克尔·艾普特
寒竹百合
达米恩·查泽雷
山田尚子
大卫·彼特拉克
比班·基德龙
丁晟
约翰·拉塞特
金丙书
富岡聡
温蒂·斯坦齐勒
约翰·施班
金泰勇
约瑟夫·麦克金提·尼彻
乔丹·皮尔
黄仁雷
道格·里曼
陈英雄
斯图尔特·哈泽尔丁
赖建国
约翰·里夸
亚当·伯恩斯坦
徐浩峰
胡玫
格恩迪·塔塔科夫斯基
莱斯利·林卡·格拉特
乔舒华·玛斯顿
查尔斯·海德
陈铭章
颂裕·素玛戈南
庾河
斯蒂夫·平克
林育贤
理查德·隆克瑞恩
布莱恩·凯利
卡尔·蒂贝茨
奥利弗·西斯贝格
表民洙
刘露
阿斯哈·法哈蒂
蒂莫西·范·帕腾
秦小珍
乔治·卢卡斯
朴勋政
托德·海因斯
若泽·帕迪里亚
米家山
大卫·斯沃曼
理查德·J·刘易斯
亚历山大·维特
阿尔弗雷德·希区柯克
鄢钷
朱塞佩·托纳多雷
克里斯·韦兹
国本雅广
盖·费尔兰德
费德·阿尔瓦雷兹
帕特里克·休斯
肯·奥林
乔瑟琳·穆尔豪斯
内森·格雷诺
Aisling Walsh
钟澍佳
伍仕贤
伍迪·艾伦
加美·尤伊斯
近藤喜文
提莫·贝克曼贝托夫
山本泰一郎
Allen Coulter
斯科特·希克斯
多洛塔·科别拉
庵野秀明
欧文·哈里斯
巴里·詹金斯
约瑟夫·鲁斯纳克
George Gordon
阿兰尼·珊福德
马克·奥斯本
罗启锐
艾利克斯·格雷夫斯
迈克尔·帕特里克·金
刁亦男
赛尔乔·莱翁内
艾什·布兰农
肖央
长井龙雪
威廉·惠勒
莉莉·沃卓斯基
曾国祥
约翰·R·莱昂耐迪
泰勒·海克福德
金成洙
蒂姆·米勒
诺拉·托梅
西德尼·波拉克
吴基焕
水岛精二
马克·劳伦斯
赵真奎
张中一
杰里米·洛夫林
马克·帕兰斯基
宋一坤
朗·霍华德
索菲亚·科波拉
王家卫
林妍
沃尔夫冈·彼德森
吕克·贝松
孙墨龙
林超贤
赵小丁
谢卡尔·卡普尔
詹姆斯·哈维斯
蜷川实花
巴兹·鲁赫曼
三木孝浩
钱家骏
提莫·沃伦索拉
乔纳森·莱文
宫崎骏
矢口史靖
保罗·索伦蒂诺
霍伊特·耶特曼
埃里克·达尼尔
马修·沃恩
扎克·施奈德
Kevin Bright
迈克尔·度德威特
陈凯歌
卢正雨
米凯尔·哈弗斯特罗姆
金知云
不思凡
陈晓卿
托马斯·阿尔弗莱德森
嘉柏·丘波
科林·巴克西
张嘉佳
罗德里戈·科尔特斯
维基·詹森
郑保瑞
望月智充
王川
罗恩·克莱蒙兹
珊达·莱梅斯
谢晋
周星驰
热拉尔·乌里
汤米·奥·哈沃
内田贤治
马克·耐沃尔代
Oscar Dufau
潘耀明
岩本仁志
松田秀知
维托里奥·德·西卡
巴伦·博·欧达尔
加布里埃莱·穆奇诺
托尼·班克罗夫特
克拉克·约翰森
克林特·伊斯特伍德
刘仪伟
刘伟强
胡安·索拉纳斯
约翰·波尔森
马克宣
加藤新
弗朗西斯·福特·科波拉
米歇尔·德巴
王扶林
乔·赖特
M·奈特·沙马兰
李添胜
丹·斯坎伦
Marco Musienko
托尔·弗洛伊德桑尔
克里斯·哥伦布
艾斯林·沃什
Michael Patrick King
靳夕
静野孔文
约翰·卡尼
拉塞尔·穆卡希
乔·罗素
娄烨
崔洋一
胡安·安东尼奥·巴亚纳
庄伟建
埃里康·卡萨罗萨
陈思诚
王力宏
斯蒂芬·索莫斯
杰弗利·纳赫马诺夫
弗兰克·马歇尔
路易斯·莱特里尔
汉内斯·赫尔姆
卢恒宇
马克·森卓斯基
蒂姆·约翰逊
刘俊杰
比利·怀尔德
法提赫·阿金
郭宝昌
旗野義文
丹尼尔·艾提奥斯
莎里·斯宾厄·伯曼
陈赫
蒂莫西·布斯菲尔德
申源浩
埃里克·布雷维格
埃米利·阿朵里诺
吴宇森
黄斌
张子恩
埃迪森·特斯利卡森
西谷弘
石井康晴
吕寅荣
五十岚卓哉
梁胜权
尼古拉斯·温丁·雷弗恩
延尚昊
福泽克雄
克雷·卡提斯
罗伯·科恩
闵奎东
克雷格·吉勒斯佩
尼尔·马歇尔
谷口悟朗
李鼎
武内英树
Umesh Shukla
加文·胡德
肯尼思·洛纳根
胡进庆
浅香守生
及川拓郎
卡梅伦·克罗
黄东赫
丹尼尔·米纳汉
水田伸生
热拉尔·德帕迪约
关锦鹏
基伦·埃弗瑞·韦恩斯
维莱莉·法瑞斯
袁和平
蔡晓晴
林爱华
马克·罗曼尼克
格雷格·蒂曼
让-皮埃尔·热内
乔·舒马赫
詹姆斯·卡梅隆
汤姆·霍珀
布莱恩·辛格
柯蒂斯·汉森
艾伦·帕克
洛芙琳·坦丹
陈国富
理查德·林克莱特
钱永强
郑大允
戈尔·维宾斯基
安德鲁·斯坦顿
布拉德·伯德
詹姆斯·曼高德
卞成贤
泷田洋二郎
查尔斯·赫曼-温菲尔德
佐藤顺一
詹姆斯·瓦特金斯
邹佡
姜伟
杉山庆一 
丹·特拉亨伯格
夏永康
罗志良
伦·怀斯曼
约翰·麦克蒂尔南
布拉德·刘易斯
苏有朋
莫娜·阿查切
约翰·卡兰
堤幸彦
李铉升
史蒂夫·普切尔
詹姆斯·伯罗斯
丹尼尔·沙克海姆
拉加·高斯内尔
亚罗·切尼
Tetsuo Imazawa
中岛哲也
大卫·博维斯
柏德潘·王般
布莱克·爱德华兹
路易·西霍尤斯
叶伟民
山姆·伍德
克里斯托夫·卢尔德莱
金扬桦
米歇尔·贡德里
藤田阳一
塞思·麦克法兰
吴天明
李骏
南云圣一
埃里克·托莱达诺
李仁港
丹尼·高顿
吉拉尔·皮雷
袁锦麟
詹姆斯·麦克特格
强尼·坎贝尔
吉尔·约格尔
管虎
山姆·卡特林
千丙哲
杨洁
成龙
罗伯特·雷德福
曹保平
程小东
程伟豪
彼得·博格
森下孝三
平野真
达斯汀·巴拉德
大鹏
布朗温·休斯
尼尔·博格
高野舞
李允正
莫滕·泰杜姆
约翰·马登
彼得·维纳
石川淳一
儿玉兼嗣
臼井仪人
邱礼涛
艾伦·考特勒
杰赫米·克拉潘
阿兰·葛斯彭纳
钟少雄
陈朱煌
马克∙安德鲁斯
张之亮
森田宏幸
张敏
乌塔·布里兹维茨
肯尼思·布拉纳
野村哲也
盖瑞·马歇尔
棚泽孝义
王冉
A.R. Murugadoss
埃里克·吉伦
格伦·费卡拉
麦贯之
案纳正美
乔·德特杜巴
许秦豪
罗兰·艾默里奇
克日什托夫·基耶斯洛夫斯基
沃尔夫冈·劳恩斯坦
朱里安·杰拉德
克雷格·兹斯克
文森特·帕兰德
英达
迈克尔·塞洛蒙
梁乐民
忻钰坤
马特·达菲
汤姆·沙迪亚克
金成勋
佩顿·里德
凯文·科斯特纳
潘安子
玛嘉·莎塔琵
约翰·马斯克
麦克·勒曼
索尔·迪勃
高林豹
姚光华
阿方索·戈麦斯-雷洪
乔韩·瑞克
王颖
凯文·利玛
许诚毅
路阳
迪恩·帕里索特
胡涵清
彼得·拉姆齐
阿格涅丝卡·霍兰
弗兰克·威利
小津安二郎
珍妮弗·李
乔丹·沃格特-罗伯茨
金尹哲
徐峥
查克·拉塞尔
布拉德·塞伯宁
亚历克斯·普罗亚斯
多米尼克·塞纳
刘大印
伊达勇登
马基德·马基迪
高群书
大卫·弗兰科尔
安迪·菲克曼
乔·努斯鲍姆
昆汀·塔伦蒂诺
罗伯·明可夫
程工
凯瑞·福永
沃什·韦斯特摩兰
保罗·格诺维塞
元奎
徐景达
罗伯特·本顿
斯坦利·多南
清水崇
Komgrit Triwimol
深川栄洋
尔冬升
阿方索·卡隆
亚历山大·佩恩
加里斯·爱德华斯
郭敬明
约翰·克劳利
宇田钢之助
钱运达
斯派克·李
徐静蕾
理查德·柯蒂斯
西蒙·J·史密斯
高松信司
唐纳德·佩特瑞
邹凯光
戴维·贝尼奥夫
高志森
侯孝贤
乔纳森·戴米
金元锡
张猛
迈克尔·曼
奥利弗·帕克
赵天宇
托尼·凯耶
青木康直
乔丹·斯科特
赵林山
郑芬芬
加藤久仁生 
豪梅·巴拉格罗
姜帝圭
姜炯哲
杨德昌
周显扬
李惠民
彼得·休伊特
奉俊昊
乔·卡纳汉
拉吉库马尔·希拉尼
凯瑟琳·毕格罗
朱延平
王晶
金子文纪
维姆·文德斯
Vitcha Gojiew
欧格斯·兰斯莫斯
滕文骥
Brett Ratner
亚当·布鲁克斯
梁鸿华
陈嘉上
拉斯·冯·提尔
康洪雷
詹姆斯·沃德·布柯特
郭帆
韩寒
克里斯·米勒
乔阿吉姆·罗恩尼
杰雷米·波德斯瓦
亚历山德罗·卡罗尼
鹤卷和哉
安德列·塞库拉
保罗·范霍文
伊万·雷特曼
乔纳森·莫斯托
郑晓龙
洪金宝
龚艺群
翁子光
侯咏
刘畅
丹尼斯·杜根
巴塔萨·科马库
大卫·努特尔
帕梅拉·福莱曼
罗伯·莱特曼
格斯·范·桑特
Doug Sweetland
彭浩翔
查理·卓别林
林靖杰
彭大魔
贝纳尔多·贝托鲁奇
肯·卡皮斯
摩砂雪
华森·波克彭
伊莎贝尔·科赛特
安德烈·艾弗道夫
米歇尔·阿扎纳维西于斯
李亨民
卡比尔·汗
赵良骏
布莱恩·泰勒
袁建滔
文森佐·纳塔利
理查德·马昆德
诺拉·艾芙隆
彼得·斯派瑞
布拉德利·比克尔
洪成昌
李廷香
凯文·雷诺兹
保罗·金
布尔·斯蒂尔斯
约翰·达尔
郭柯
张永新
罗森·马歇尔·瑟伯
伊恩·索夫特雷
理查德·凯利
尹志文
柯尔姆·麦卡锡
贾森·雷特曼
胡安·何塞·坎帕内利亚
扬·德·邦特
约翰·李·汉考克
达米安·斯兹弗隆
梅尔·吉布森
乔·兰福特
高晓松
周杰伦
岸西
克里斯托弗·劳恩斯坦
雷德利·斯科特
保罗·麦奎根
尹锡湖
杨·塞谬尔
丹·吉尔罗伊
涅提·蒂瓦里
谢东燊
休·韦尔什曼
